id,dep,jour,jour_fr,tx_incid,R,tx_occupation_sae,tx_pos
012020-11-190,1,2020-11-19,19 nov 2020,339,0,148,14
012020-11-160,1,2020-11-16,16 nov 2020,397,0,155,16
012020-11-170,1,2020-11-17,17 nov 2020,350,0.6,153,16
012020-11-180,1,2020-11-18,18 nov 2020,387,0,150,15
012020-11-230,1,2020-11-23,23 nov 2020,246,0,139,12
012020-11-240,1,2020-11-24,24 nov 2020,221,0.5,137,12
012020-11-250,1,2020-11-25,25 nov 2020,203,0,136,12
012020-11-260,1,2020-11-26,26 nov 2020,197,0,131,12
012020-11-270,1,2020-11-27,27 nov 2020,186,0,124,12
012020-11-280,1,2020-11-28,28 nov 2020,189,0,121,12
012020-11-290,1,2020-11-29,29 nov 2020,188,0,120,12
012020-11-300,1,2020-11-30,30 nov 2020,173,0,117,11
012020-12-010,1,2020-12-01,1 dec 2020,166,0.5,115,11
012020-12-020,1,2020-12-02,2 dec 2020,168,0,113,12
012020-11-200,1,2020-11-20,20 nov 2020,300,0,146,14
012020-11-210,1,2020-11-21,21 nov 2020,286,0,141,13
012020-11-220,1,2020-11-22,22 nov 2020,284,0,142,13
012020-12-060,1,2020-12-06,6 dec 2020,145,0,98,10
012020-12-070,1,2020-12-07,7 dec 2020,150,0,98,11
012020-12-080,1,2020-12-08,8 dec 2020,157,0.8,94,11
012020-12-090,1,2020-12-09,9 dec 2020,153,0,94,10
012020-12-100,1,2020-12-10,10 dec 2020,156,0,91,10
012020-12-110,1,2020-12-11,11 dec 2020,157,0,89,10
012020-12-120,1,2020-12-12,12 dec 2020,159,0,89,10
012020-12-130,1,2020-12-13,13 dec 2020,159,0,89,10
012020-12-140,1,2020-12-14,14 dec 2020,158,0,90,9
012020-12-150,1,2020-12-15,15 dec 2020,161,1,88,8
012020-12-160,1,2020-12-16,16 dec 2020,162,0,86,7
012020-12-170,1,2020-12-17,17 dec 2020,168,0,84,6
012020-12-180,1,2020-12-18,18 dec 2020,183,0,83,5
