id,dep,jour,jour_fr,indic_hosp,indic_rea,indic_rad,indic_dc
012020-03-190,1,2020-03-19,19 mars 2020,1,0,0,0
022020-03-190,2,2020-03-19,19 mars 2020,38,8,15,10
032020-03-190,3,2020-03-19,19 mars 2020,2,0,6,0
042020-03-190,4,2020-03-19,19 mars 2020,1,0,1,0
052020-03-190,5,2020-03-19,19 mars 2020,4,0,1,0
062020-03-190,6,2020-03-19,19 mars 2020,12,4,4,0
072020-03-190,7,2020-03-19,19 mars 2020,7,1,0,0
082020-03-190,8,2020-03-19,19 mars 2020,1,1,0,0
092020-03-190,9,2020-03-19,19 mars 2020,0,0,0,0
102020-03-190,10,2020-03-19,19 mars 2020,6,1,0,0
112020-03-190,11,2020-03-19,19 mars 2020,19,5,4,3
122020-03-190,12,2020-03-19,19 mars 2020,4,0,1,1
132020-03-190,13,2020-03-19,19 mars 2020,89,16,43,0
142020-03-190,14,2020-03-19,19 mars 2020,3,0,1,0
152020-03-190,15,2020-03-19,19 mars 2020,1,0,0,0
162020-03-190,16,2020-03-19,19 mars 2020,1,0,2,0
172020-03-190,17,2020-03-19,19 mars 2020,2,0,0,0
182020-03-190,18,2020-03-19,19 mars 2020,0,0,0,0
192020-03-190,19,2020-03-19,19 mars 2020,1,0,0,0
212020-03-190,21,2020-03-19,19 mars 2020,26,11,24,2
222020-03-190,22,2020-03-19,19 mars 2020,4,0,0,1
232020-03-190,23,2020-03-19,19 mars 2020,0,0,0,0
242020-03-190,24,2020-03-19,19 mars 2020,1,1,0,0
252020-03-190,25,2020-03-19,19 mars 2020,12,11,5,2
262020-03-190,26,2020-03-19,19 mars 2020,15,5,2,1
272020-03-190,27,2020-03-19,19 mars 2020,1,0,0,1
282020-03-190,28,2020-03-19,19 mars 2020,6,1,0,0
292020-03-190,29,2020-03-19,19 mars 2020,11,0,3,0
2A2020-03-190,2A,2020-03-19,19 mars 2020,59,11,9,1
2B2020-03-190,2B,2020-03-19,19 mars 2020,1,0,1,0
302020-03-190,30,2020-03-19,19 mars 2020,1,1,1,1
312020-03-190,31,2020-03-19,19 mars 2020,8,3,4,1
322020-03-190,32,2020-03-19,19 mars 2020,2,2,0,0
332020-03-190,33,2020-03-19,19 mars 2020,14,3,6,1
342020-03-190,34,2020-03-19,19 mars 2020,24,7,5,2
352020-03-190,35,2020-03-19,19 mars 2020,25,7,16,0
362020-03-190,36,2020-03-19,19 mars 2020,3,0,0,0
372020-03-190,37,2020-03-19,19 mars 2020,2,2,0,0
382020-03-190,38,2020-03-19,19 mars 2020,11,0,5,0
392020-03-190,39,2020-03-19,19 mars 2020,1,0,0,0
402020-03-190,40,2020-03-19,19 mars 2020,0,0,0,0
412020-03-190,41,2020-03-19,19 mars 2020,3,0,1,0
422020-03-190,42,2020-03-19,19 mars 2020,32,4,5,2
432020-03-190,43,2020-03-19,19 mars 2020,1,1,0,0
442020-03-190,44,2020-03-19,19 mars 2020,12,4,3,0
452020-03-190,45,2020-03-19,19 mars 2020,12,3,2,0
462020-03-190,46,2020-03-19,19 mars 2020,1,0,1,0
472020-03-190,47,2020-03-19,19 mars 2020,0,0,0,0
482020-03-190,48,2020-03-19,19 mars 2020,0,0,0,0
492020-03-190,49,2020-03-19,19 mars 2020,13,3,5,0
502020-03-190,50,2020-03-19,19 mars 2020,0,2,1,0
512020-03-190,51,2020-03-19,19 mars 2020,25,2,11,1
522020-03-190,52,2020-03-19,19 mars 2020,0,0,0,0
532020-03-190,53,2020-03-19,19 mars 2020,3,2,1,0
542020-03-190,54,2020-03-19,19 mars 2020,14,2,1,2
