dep,ratio,sexe,jour,jour_fr,tx_incid,tx_pos,tx_occupation_sae,R,hosp,rea,rad,dc,indic_dc,indic_rad
1,64.97,0,2020-03-15,15 mars 2020,0,0,16,0,0.06,0,0.02,0,0,0.02
2,53.43,0,2020-03-15,15 mars 2020,0,0,33,0,1.14,0.37,0.92,0.47,0.19,0.28
3,33.90,0,2020-03-15,15 mars 2020,0,0,16,0,0.15,0,0.29,0,0,0.18
4,16.17,0,2020-03-15,15 mars 2020,0,0,14,0,0.25,0.06,0.19,0,0,0.06
5,14.16,0,2020-03-15,15 mars 2020,0,0,14,0,0.92,0.07,0.71,0,0,0.07
6,108.06,0,2020-03-15,15 mars 2020,0,0,14,0,0.43,0.06,0.56,0.06,0.02,0.09
7,32.86,0,2020-03-15,15 mars 2020,0,0,16,0,0.46,0.09,0.09,0.03,0.03,0.09
8,27.13,0,2020-03-15,15 mars 2020,0,0,71,0,0.11,0.04,0.04,0,0,0
9,15.23,0,2020-03-15,15 mars 2020,0,0,15,0,0.13,0.07,0.2,0,0,0.07
10,31.16,0,2020-03-15,15 mars 2020,0,0,71,0,0.39,0.06,0,0,0,0
11,37.02,0,2020-03-15,15 mars 2020,0,0,15,0,0.7,0.3,0.35,0.24,0.08,0.11
12,28.11,0,2020-03-15,15 mars 2020,0,0,15,0,0.43,0.07,0.14,0.04,0.04,0.04
13,204.39,0,2020-03-15,15 mars 2020,0,0,14,0,0.99,0.16,0.63,0.02,0,0.21
14,69.58,0,2020-03-15,15 mars 2020,0,0,9,0,0.09,0.04,0.04,0.01,0.01,0.03
15,14.42,0,2020-03-15,15 mars 2020,0,0,16,0,0.35,0.07,0,0,0,0
16,35.20,0,2020-03-15,15 mars 2020,0,0,7,0,0.09,0.03,0.06,0,0,0.06
17,64.82,0,2020-03-15,15 mars 2020,0,0,7,0,0.17,0.06,0.03,0,0,0.03
18,30.48,0,2020-03-15,15 mars 2020,0,0,8,0,0,0,0,0,0,0
19,24.19,0,2020-03-15,15 mars 2020,0,0,7,0,0.04,0,0,0,0,0
21,53.68,0,2020-03-15,15 mars 2020,0,0,40,0,1.53,0.58,0.84,0.06,0.04,0.45
22,59.87,0,2020-03-15,15 mars 2020,0,0,16,0,0.12,0.02,0.05,0.02,0.02,0
23,11.87,0,2020-03-15,15 mars 2020,0,0,7,0,0.08,0,0,0,0,0
24,41.26,0,2020-03-15,15 mars 2020,0,0,7,0,0.1,0.07,0.05,0,0,0.02
25,54.09,0,2020-03-15,15 mars 2020,0,0,40,0,0.89,0.39,0.35,0.11,0.04,0.13
26,51.62,0,2020-03-15,15 mars 2020,0,0,16,0,0.83,0.17,0.04,0.04,0.04,0.04
27,61.02,0,2020-03-15,15 mars 2020,0,0,9,0,0.11,0.05,0,0.02,0.02,0
28,43.40,0,2020-03-15,15 mars 2020,0,0,8,0,0.3,0.09,0.02,0.02,0,0.05
29,91.05,0,2020-03-15,15 mars 2020,0,0,16,0,0.22,0.05,0.07,0.01,0.01,0.03
2A,15.99,0,2020-03-15,15 mars 2020,0,0,78,0,3.88,0.88,0.75,0.25,0.13,0.56
2B,17.79,0,2020-03-15,15 mars 2020,0,0,78,0,0.34,0,1.29,0,0,1.24
30,74.82,0,2020-03-15,15 mars 2020,0,0,15,0,0.11,0.04,0.15,0.01,0.01,0.05
31,138.84,0,2020-03-15,15 mars 2020,0,0,15,0,0.37,0.1,0.12,0.01,0.01,0.04
32,19.13,0,2020-03-15,15 mars 2020,0,0,15,0,0.21,0.16,0,0,0,0
33,161.08,0,2020-03-15,15 mars 2020,0,0,7,0,0.24,0.09,0.07,0.01,0.01,0.04
34,116.00,0,2020-03-15,15 mars 2020,0,0,15,0,0.56,0.19,0.28,0.03,0.02,0.08
35,107.39,0,2020-03-15,15 mars 2020,0,0,16,0,0.19,0.09,0.17,0.01,0.01,0.15
36,21.85,0,2020-03-15,15 mars 2020,0,0,8,0,0.23,0.09,0,0,0,0
37,61.11,0,2020-03-15,15 mars 2020,0,0,8,0,0.2,0.08,0.02,0.02,0.02,0.02
38,127.28,0,2020-03-15,15 mars 2020,0,0,16,0,0.24,0.02,0.1,0.01,0,0.04
39,25.94,0,2020-03-15,15 mars 2020,0,0,40,0,0.27,0.04,0.08,0,0,0.04
40,41.18,0,2020-03-15,15 mars 2020,0,0,7,0,0,0,0,0,0,0
41,33.26,0,2020-03-15,15 mars 2020,0,0,8,0,0.12,0,0.03,0,0,0.03
42,76.25,0,2020-03-15,15 mars 2020,0,0,16,0,0.93,0.24,0.16,0.08,0.03,0.07
43,22.74,0,2020-03-15,15 mars 2020,0,0,16,0,0.18,0.09,0.26,0,0,0.04
44,141.33,0,2020-03-15,15 mars 2020,0,0,12,0,0.27,0.08,0.08,0.01,0,0.02
45,68.15,0,2020-03-15,15 mars 2020,0,0,8,0,0.44,0.09,0.04,0,0.01,0.03
46,17.15,0,2020-03-15,15 mars 2020,0,0,15,0,0.06,0,0.29,0,0,0.17
47,33.32,0,2020-03-15,15 mars 2020,0,0,7,0,0.39,0.12,0.03,0,0,0
48,7.55,0,2020-03-15,15 mars 2020,0,0,15,0,0.13,0,0,0,0,0
49,82.07,0,2020-03-15,15 mars 2020,0,0,12,0,0.27,0.07,0.46,0.02,0.02,0.09
50,49.70,0,2020-03-15,15 mars 2020,0,0,9,0,0.3,0.08,0.04,0,0,0.02
51,57.33,0,2020-03-15,15 mars 2020,0,0,71,0,1.17,0.28,0.47,0.03,0.02,0.19
52,17.51,0,2020-03-15,15 mars 2020,0,0,71,0,0.51,0,0.29,0.23,0.17,0.29
53,30.63,0,2020-03-15,15 mars 2020,0,0,12,0,0.23,0.07,0.1,0,0,0.03
54,73.31,0,2020-03-15,15 mars 2020,0,0,71,0,1.04,0.48,0.03,0.12,0.14,0.01
55,18.74,0,2020-03-15,15 mars 2020,0,0,71,0,3.2,0.32,0.37,0.05,0.05,0.27
56,75.35,0,2020-03-15,15 mars 2020,0,0,16,0,0.82,0.19,0.84,0.16,0.04,0.03
57,103.86,0,2020-03-15,15 mars 2020,0,0,71,0,2.75,0.62,0.33,0.24,0.04,0.14
58,20.59,0,2020-03-15,15 mars 2020,0,0,40,0,0.05,0.05,0,0,0,0
59,261.39,0,2020-03-15,15 mars 2020,0,0,33,0,0.53,0.16,0.14,0.02,0.01,0.09
60,82.98,0,2020-03-15,15 mars 2020,0,0,33,0,1.66,0.34,0.52,0.22,0.13,0.17
61,28.25,0,2020-03-15,15 mars 2020,0,0,9,0,0.14,0.04,0.14,0,0,0.07
62,147.51,0,2020-03-15,15 mars 2020,0,0,33,0,0.34,0.14,0.24,0.01,0.01,0.09
63,65.52,0,2020-03-15,15 mars 2020,0,0,16,0,0.15,0.03,0.15,0,0,0.06
64,67.72,0,2020-03-15,15 mars 2020,0,0,7,0,0.15,0.01,0.03,0.01,0.01,0.01
65,22.75,0,2020-03-15,15 mars 2020,0,0,15,0,0.22,0.04,0,0,0,0
